Unnamed: 0.1,sha256,data_type,smali_classes,malware,smali_classes_bin,dex_date,total_size
10500,B09F78EAEA155D73A08B44C99499D62353AA1C77C55D3040A0C974DA78A91456,goodware,1812,False,1000-1999,2019-11-19 16:33:36,67884442.0
11491,64480D9479DFBEF2EFAD37221BC7440B4AB34FBA336EF225014FAFF298DA7FDC,goodware,2867,False,2000-2999,2019-08-29 09:55:36,23294206.0
2486,A03DC70BE4ADDFFF673495376BFB30B044B197620B8CA39BF88A7994DDF090ED,goodware,739,False,0-999,2020-03-03 10:23:52,18554918.0
3397,DBE41AC08A5FFE9B162AE8D52890F99730766F6788D346E48BA8DA3951985AF2,goodware,869,False,0-999,2019-02-21 17:14:18,180650581.0
12166,71687D6F45901070491F6AFB95AB61240A411B9FC38E9AF8A6879CC5F498E8D0,goodware,6551,False,6000-6999,2019-06-03 14:10:50,2497401.0
29846,540B97E840A952D3BF372070D10034231B16F9BA80EA7C13C7F1C5F5AD98D04D,malware,15568,True,15000-15999,2019-02-28 13:43:36,375649309.0
15316,FDCFD48CCC2CC4AADE794409C7D5E54130520B09E6535D63B592A90F0A0C8410,goodware,35969,False,35000-35999,2019-07-01 10:46:44,7732731.0
25335,C53A0C4256C26E843405E98011CB119359AA5E32B2B2B91693205323D911A3DD,malware,1395,True,1000-1999,2019-03-19 18:27:26,22352019.0
18465,01366F7ACDE9FB286B2B9A45690C42957D9C301D70C3B9B29131382B82C68015,malware,646,True,0-999,2019-07-01 15:07:10,21958675.0
13701,3BDB2A35C230814D2FDBCD6C8D2050D771DFB47D16AA23DBCB32B84BDD10CE1C,goodware,22896,False,22000-22999,2020-03-11 14:23:28,92596949.0
2382,999CCDC41360FCEE39A1CA769421F1F58187234C3C5DFE01C8CC126148BFF5F9,goodware,31,False,0-999,2019-06-13 10:01:52,74078741.0
24678,AC9F68BE55D1A92125FC9C94FA357A5C99F44BE8B79C0473A3DDDF446334E7FB,malware,1385,True,1000-1999,2019-07-24 10:06:36,27670210.0
19383,ED6ADE1B3719478C2FBECAF890FA92370C22F912B24ABE4823D18258BD8A6B27,malware,79,True,0-999,2019-01-21 13:53:08,50590301.0
20688,0C8F1E26DD9BB6D44D3D23311EADE9E90AAEA65E9954E911A1A163EA10E2CF90,malware,755,True,0-999,2020-01-08 20:54:20,74338438.0
12763,DB4C661835A2FBD0D4B102147BA84A293CAB0CE6DFDE0D64E967EED3358F7E00,goodware,15082,False,15000-15999,2019-04-05 20:33:18,4247090.0
9887,382AFABD791B902BCF3D898CD9D0F0F01FFAEE001103049B826B406CA8F22A0F,goodware,1827,False,1000-1999,2019-12-03 08:29:52,21668852.0
27134,49E1167BF0F2FE0141074B00BA18C42264E2C336223CFC350030D07C689CF31D,malware,1395,True,1000-1999,2019-06-11 19:19:48,35285146.0
9179,F8AE72AC65C93B59BB8FEEFE987C045461CAC46DC991328F80E2FEED14ABC8C3,goodware,1813,False,1000-1999,2019-12-09 20:19:38,43694528.0
5463,AE158F58241197D995628DB10821CEBA19730AE4D13F56EDD65DDAEDE2A10978,goodware,941,False,0-999,2019-01-22 00:40:32,392705.0
5567,7B301517A4B1EB4BE76D842AA163683204FA2679F58F83A5F038C4F0FA636C1D,goodware,1716,False,1000-1999,2019-07-03 21:42:44,31002610.0
11475,F1D01A229413AC9656BF7BF0BA0590E178AD2D8791E0DB8A3540C51B49D7C2CA,goodware,2842,False,2000-2999,2020-04-06 14:43:22,40698646.0
25441,28F106046AFCCA812C45542E6848DB494659A4DAC146FDD5F7A3A7EA1D5FEA26,malware,1395,True,1000-1999,2019-04-26 17:11:42,26420706.0
14963,2142C247CE14B6C67F3476038DA17D88EBEA4D87C167E92296B3CE6F6D6D8AE5,goodware,33862,False,33000-33999,2019-07-05 11:42:24,9122539.0
13437,E2E83FD2F801DA29F02297AA3BCD62BD29B68292B7A74D0983EB4E0C6993226C,goodware,19666,False,19000-19999,2019-07-06 15:06:52,13172616.0
6278,05274C0238832AE35E1FBEE95F55B0A365A1E08C55E733B27D89400C4558579B,goodware,1716,False,1000-1999,2019-10-24 17:11:28,32793497.0
10744,96BC9F3541CE2E683373D3EB5CCDE5CAD5A01EE525316D3805A19C698B450B34,goodware,1932,False,1000-1999,2019-04-17 07:26:20,354486.0
7713,A5A7D39E0D89EF6F230ED1BB56BBBCDE50A01570E03640ABAC5C42DB31942080,goodware,1716,False,1000-1999,2019-07-05 17:14:28,48024290.0
23323,E01C3EF8AB425D6E3E728462E2C4819E15533145E2EA676AAB94F6E0BEBCA33B,malware,1385,True,1000-1999,2019-04-28 10:53:30,124038102.0
8004,8C4599DE1C4E72834305865432DC07FA259F781D523F68A0DC05E22066B0A97A,goodware,1716,False,1000-1999,2019-10-15 09:45:14,24310790.0
21226,8ED3D87DE03E97704BB1484DAAD47EFE6CCEE85473A376C1FBF5971295A6F446,malware,1395,True,1000-1999,2019-03-31 16:27:32,12882028.0
14103,EA84FA252A288580224680645525CCCC7F4F09EDBAD0F2C78A2353C1010A44FB,goodware,23945,False,23000-23999,2019-03-02 02:04:02,38512331.0
1879,7AC14CFC7B50EA69C77266BAD277663ACBAF47C210995D42203C8B0E834DE1CF,goodware,873,False,0-999,2019-08-09 16:57:12,55477463.0
21566,82BEDDF6FCC8169DA432D4E0E81BE16E4732D058245E38C39F33EA9051D8E879,malware,1395,True,1000-1999,2019-06-18 14:04:18,41107805.0
4500,220E3DAA4F8C7281F5D9BA89DE7749DB4CB66604EAE58C75BF1B3A7F09B32013,goodware,1108,False,1000-1999,2019-03-26 20:43:54,985773.0
5064,43F830DE6C9C4FC129676B057BDB82F6ED47E5F1B671F257CC35C29AA9CCAAA9,goodware,1604,False,1000-1999,2019-06-28 18:30:00,37674151.0
22006,9205FCBCDA468F56DCB95F7C4DB7A3EE550035DE94733C06D88E0EAE1694A0EF,malware,1395,True,1000-1999,2019-06-27 15:33:52,9440096.0
6062,257B2744D63EE663069D4D203C56459A8D08B895CE8BFA4F7870EF6BC8EAB79C,goodware,1716,False,1000-1999,2019-11-09 17:31:36,16144890.0
29774,92C67B7C0C254DA603C0F61694887FE71C5F4677EC89B0AFF8187B6F75D154B2,malware,15090,True,15000-15999,2020-01-13 12:45:22,5111414.0
